('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         1035302 function calls (1011084 primitive calls) in 1.833 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000    0.097    0.003 response.py:1151(_handle_chunk)
  192/188    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
       62    0.000    0.000    0.003    0.000 typing.py:687(Union)
      495    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      217    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
       49    0.000    0.000    0.929    0.019 {method 'readline' of '_io.BufferedReader' objects}
      856    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
  734/677    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      302    0.000    0.000    0.000    0.000 socket.py:732(readable)
  212/176    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       58    0.000    0.000    0.096    0.002 client.py:633(_safe_read)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      493    0.000    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      497    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      733    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
     1300    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       39    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      488    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      174    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       38    0.000    0.000    0.021    0.001 response.py:469(_decode)
     1083    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       24    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      779    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      352    0.000    0.000    0.124    0.000 __init__.py:226(compile)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
     1122    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
        1    0.000    0.000    1.833    1.833 financial_enhanced.py:1(<module>)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      403    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      604    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      660    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      825    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
     1300    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      303    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        1    0.000    0.000    0.001    0.001 feedparser.py:469(_parse_headers)
  166/163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3029(_collect_parameters)
      825    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      318    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      257    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      100    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      276    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      423    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      517    0.000    0.000    0.000    0.000 element.py:2160(get)
       22    0.000    0.000    0.002    0.000 enum.py:528(__new__)
       54    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      323    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      347    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      138    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
        4    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      197    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       43    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.030    0.030 client.py:213(_read_headers)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      524    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      237    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      405    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      339    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      517    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      299    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.049    0.049 dammit.py:1(<module>)
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        8    0.000    0.000    0.000    0.000 message.py:494(get)
      344    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
    66/35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.011    0.004 utils.py:1(<module>)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       25    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
    79/46    0.000    0.000    0.144    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
